cluster,gene,p_val,avg_log2FC,pct.1,pct.2,p_val_adj,UniProt.description,Surfaceome.Label,Surfaceome.Label.Source
ANGIO_TAM,ARHGAP45,0,2.696659592,1,0.45,0,NA,NA,NA
ANGIO_TAM,LYZ,0,2.327243376,0.99,0.37,0,Lysozyme C,,
ANGIO_TAM,ENSCAFG00000023735,0,2.213967963,0.902,0.139,0,NA,NA,NA
ANGIO_TAM,ENSCAFG00000024792,0,2.14004026,0.965,0.28,0,NA,NA,NA
ANGIO_TAM,CDA,0,2.113119475,0.992,0.409,0,Cytidine deaminase,,
ANGIO_TAM,CD300H,0,1.751796699,0.807,0.192,0,NA,NA,NA
ANGIO_TAM,IL1B,0,1.747099901,0.522,0.062,0,Interleukin-1 beta,,
ANGIO_TAM,SLAMF9,0,1.62115649,0.839,0.163,0,SLAM family member 9,surface,machine learning
ANGIO_TAM,TREM1,0,1.514549161,0.889,0.17,0,Triggering receptor expressed on myeloid cells 1,surface,machine learning
ANGIO_TAM,CFP,0,1.481302042,0.755,0.141,0,Properdin,,
ANGIO_TAM,EREG,0,1.395776458,0.418,0.031,0,Proepiregulin,surface,pos. trainingset
ANGIO_TAM,PTGER2,0,0.914652571,0.436,0.055,0,Prostaglandin E2 receptor EP2 subtype,surface,pos. trainingset
ANGIO_TAM,PRSS57,1.53E-306,0.763477981,0.576,0.094,2.52E-302,Serine protease 57,,
ANGIO_TAM,VCAN,3.37E-303,1.875838757,0.874,0.274,5.56E-299,Versican core protein,,
ANGIO_TAM,IL1A,5.81E-295,1.604675263,0.582,0.108,9.59E-291,Interleukin-1 alpha,,
ANGIO_TAM,C17H1orf162,4.31E-291,1.103249469,0.78,0.188,7.11E-287,NA,NA,NA
ANGIO_TAM,ENSCAFG00000014493,1.42E-289,1.11179022,0.692,0.156,2.34E-285,NA,NA,NA
ANGIO_TAM,ENSCAFG00000010721,1.70E-282,0.877342888,0.384,0.051,2.81E-278,NA,NA,NA
ANGIO_TAM,MAP3K8,1.04E-273,1.151936695,0.649,0.15,1.71E-269,Mitogen-activated protein kinase kinase kinase 8,,
ANGIO_TAM,SERPINB2,9.98E-271,1.996378607,0.291,0.029,1.65E-266,Plasminogen activator inhibitor 2,,
ANGIO_TAM,S100P,1.18E-270,1.48615731,0.972,0.325,1.94E-266,Protein S100-P,,
ANGIO_TAM,SLC11A1,1.75E-270,1.010558873,0.734,0.181,2.88E-266,Natural resistance-associated macrophage protein 1,surface,machine learning
ANGIO_TAM,CD86,2.89E-270,1.282620371,0.875,0.241,4.76E-266,T-lymphocyte activation antigen CD86,surface,pos. trainingset
ANGIO_TAM,GLRX,1.12E-269,2.542695094,0.993,0.679,1.85E-265,Glutaredoxin-1,,
ANGIO_TAM,C5AR1,1.46E-265,1.360621038,0.905,0.286,2.40E-261,C5a anaphylatoxin chemotactic receptor 1,surface,pos. trainingset
ANGIO_TAM,IL18BP,2.15E-263,1.53634212,0.782,0.208,3.55E-259,Interleukin-18-binding protein,,
ANGIO_TAM,SERPINA1,5.71E-263,0.469392573,0.978,0.32,9.42E-259,Alpha-1-antitrypsin,,
ANGIO_TAM,MPP1,3.22E-261,1.62578562,0.962,0.454,5.31E-257,55 kDa erythrocyte membrane protein,,
ANGIO_TAM,C30H15orf48,3.29E-261,1.023810337,0.807,0.211,5.42E-257,NA,NA,NA
ANGIO_TAM,PECAM1,4.74E-258,0.752226133,0.522,0.097,7.81E-254,Platelet endothelial cell adhesion molecule,surface,pos. trainingset
ANGIO_TAM,MAFB,1.13E-255,1.887466827,0.995,0.621,1.86E-251,Transcription factor MafB,,
ANGIO_TAM,OSM,3.24E-254,1.042020484,0.679,0.156,5.34E-250,Oncostatin-M,,
ANGIO_TAM,RETN,1.04E-253,1.201148259,0.527,0.101,1.72E-249,Resistin,,
ANGIO_TAM,METRNL,1.39E-253,1.689013273,0.983,0.558,2.29E-249,Meteorin-like protein,,
ANGIO_TAM,BPI,2.30E-250,1.39069855,0.99,0.349,3.79E-246,Bactericidal permeability-increasing protein,,
ANGIO_TAM,PLIN2,2.05E-247,2.267335328,0.987,0.689,3.38E-243,Perilipin-2,,
ANGIO_TAM,AREG,8.76E-246,2.52323409,0.256,0.025,1.44E-241,Amphiregulin,surface,machine learning
ANGIO_TAM,ENSCAFG00000031869,1.83E-240,1.606626478,0.963,0.386,3.02E-236,NA,NA,NA
ANGIO_TAM,PLAUR,5.48E-237,1.422467239,0.975,0.437,9.04E-233,Urokinase plasminogen activator surface receptor,surface,GPI (UniProt)
ANGIO_TAM,HIVEP3,1.46E-235,1.703862384,0.852,0.36,2.41E-231,Transcription factor HIVEP3,,
ANGIO_TAM,VEGFA,1.73E-232,1.733407344,0.912,0.436,2.86E-228,Vascular endothelial growth factor A,,
ANGIO_TAM,FCGR1A,3.55E-231,0.845363746,0.89,0.276,5.86E-227,High affinity immunoglobulin gamma Fc receptor I,surface,pos. trainingset
ANGIO_TAM,PLEK,8.68E-226,1.055070206,0.973,0.408,1.43E-221,Pleckstrin,,
ANGIO_TAM,VIM,6.18E-223,1.440147876,1,0.995,1.02E-218,Vimentin,,
ANGIO_TAM,FCER2,4.49E-216,0.663043491,0.263,0.03,7.41E-212,Low affinity immunoglobulin epsilon Fc receptor,,machine learning
ANGIO_TAM,ENSCAFG00000024944,9.60E-216,1.123196823,0.725,0.199,1.58E-211,NA,NA,NA
ANGIO_TAM,HBEGF,6.92E-215,2.12132572,0.637,0.188,1.14E-210,Proheparin-binding EGF-like growth factor,surface,pos. trainingset
ANGIO_TAM,PLK3,1.46E-207,1.052417678,0.699,0.219,2.40E-203,Serine/threonine-protein kinase PLK3,,
ANGIO_TAM,ENSCAFG00000028453,7.41E-207,0.572181641,0.614,0.149,1.22E-202,NA,NA,NA
ANGIO_TAM,TBXAS1,3.36E-206,0.915437665,0.73,0.209,5.54E-202,Thromboxane-A synthase,nonsurface,machine learning
ANGIO_TAM,NRG1,2.01E-204,0.539946387,0.266,0.032,3.32E-200,"Pro-neuregulin-1, membrane-bound isoform",surface,machine learning
ANGIO_TAM,ENSCAFG00000031706,2.26E-203,2.04182337,0.992,0.672,3.73E-199,NA,NA,NA
ANGIO_TAM,GPAT3,2.36E-203,0.476245524,0.363,0.058,3.89E-199,NA,NA,NA
ANGIO_TAM,TNFSF13,8.60E-201,0.887344027,0.599,0.156,1.42E-196,Tumor necrosis factor ligand superfamily member 13,nonsurface,machine learning
ANGIO_TAM,CTSB,2.07E-200,1.4384709,0.83,0.322,3.42E-196,Cathepsin B,,
ANGIO_TAM,NFKBID,7.74E-200,1.35171653,0.998,0.56,1.28E-195,NF-kappa-B inhibitor delta,,
ANGIO_TAM,MSR1,5.26E-199,1.262616463,0.671,0.183,8.67E-195,Macrophage scavenger receptor types I and II,surface,machine learning
ANGIO_TAM,CXCL8,5.74E-199,1.185654034,0.947,0.422,9.48E-195,Interleukin-8,,
ANGIO_TAM,SNAI1,1.02E-198,1.264831791,0.815,0.332,1.69E-194,Zinc finger protein SNAI1,,
ANGIO_TAM,NFKBIA,1.38E-197,1.169798533,0.977,0.542,2.27E-193,NF-kappa-B inhibitor alpha,,
ANGIO_TAM,AIF1,4.05E-197,1.133250973,0.94,0.33,6.69E-193,Allograft inflammatory factor 1,,
ANGIO_TAM,DLA-DRA,9.98E-192,1.125069476,0.988,0.514,1.65E-187,NA,NA,NA
