gene,U_statistic_MWU,p_value_MWU,FDR,hbNeutrophils,htNeutrophils,fold_change
A1BG,12234303.5,0.003922001,0.005071827,0.026297447,0.016029772,0.91687572
A2ML1,12281231.5,7.23797E-05,0.000111579,0.0382808,0.018630191,0.854982766
AACS,12317095,0.000232963,0.000337577,0.074033953,0.057581458,0.9039318
AAGAB,12179238,0.256303319,0.278046357,0.018200716,0.023757439,1.048141309
AAK1,12739366.5,8.08737E-18,3.95153E-17,0.211101311,0.107821924,0.665031689
AAMDC,12290276,0.002635995,0.003457562,0.075561251,0.060781801,0.91446374
AARD,12671949,8.59654E-21,5.11343E-20,0.131730904,0.039872995,0.598795686
AARS2,12484333,6.70279E-11,1.92764E-10,0.102764002,0.046445389,0.718390793
AARSD1,12680175.5,2.8303E-19,1.53811E-18,0.144345885,0.062782602,0.662362288
AATF,12209895,0.120077946,0.134882291,0.045956316,0.042189091,0.973689046
AATK,12671691,2.91963E-17,1.37435E-16,0.241698222,0.07090192,0.49606127
ABAT,12403808.5,3.46655E-08,7.73045E-08,0.100396055,0.045445269,0.721937947
ABCA1,11749921,1.99986E-13,7.11969E-13,0.11534553,0.286733919,1.806267766
ABCA2,12338621.5,7.0331E-08,1.52136E-07,0.04524215,0.015802914,0.793360558
ABCA7,12635886,4.26037E-19,2.28643E-18,0.162068828,0.042566865,0.539124478
ABCA9,12261006,3.01485E-05,4.83082E-05,0.023354188,0.007767608,0.870735234
ABCB5,12332720,1.814E-07,3.72347E-07,0.045756321,0.016445544,0.795002085
ABCB9,12979269,1.30768E-31,1.35958E-30,0.228895044,0.068301007,0.507560881
ABCC1,12324950,3.81486E-06,6.77107E-06,0.05330971,0.027741037,0.83014713
ABCC3,13006806.5,1.22834E-38,1.64141E-37,0.198402878,0.031271331,0.434654765
ABCC5,12330237,1.45931E-06,2.71659E-06,0.06828475,0.026133051,0.745321238
ABCC6,12269459,7.4573E-05,0.000114646,0.030413136,0.014710662,0.876976176
ABCD3,12246412.5,0.000736513,0.001017634,0.029987977,0.017277463,0.900084396
ABCD4,12426683.5,7.09583E-11,2.03389E-10,0.068870354,0.022448907,0.720512486
ABCE1,12281236.5,2.91408E-05,4.67806E-05,0.031876509,0.016746549,0.882805281
ABCF1,12079635,0.059759595,0.069127359,0.053951354,0.089181788,1.233042678
ABCF2,12286210.5,3.81458E-06,6.77107E-06,0.03103141,0.008137303,0.821496715
ABCG1,12461911.5,0.000696301,0.000964548,0.38588475,0.425615371,1.082239409
ABHD1,12480565,1.92373E-12,6.30202E-12,0.087270639,0.033631451,0.709265085
ABHD11,12610989.5,4.38451E-19,2.34575E-18,0.113255268,0.028302988,0.59638749
ABHD12B,12169981.5,0.595879314,0.617367929,0.025248796,0.038062313,1.104622922
ABHD13,12247613.5,0.007852757,0.009887935,0.050757652,0.030189688,0.86101054
ABHD15,12536876,1.74193E-13,6.22718E-13,0.113463145,0.044762629,0.673922477
ABHD17A,12327047,0.000269517,0.000387678,0.087972705,0.071071519,0.908739533
ABHD17B,12217696.5,0.01252299,0.015441438,0.033515125,0.014793626,0.856803215
ABHD18,12743271,3.57152E-22,2.30067E-21,0.170815939,0.05304146,0.560609342
ABHD2,13096359,4.63303E-26,3.725E-25,0.480970082,0.219654568,0.548049207
ABHD3,12657619,6.44135E-18,3.16162E-17,0.168599859,0.060976341,0.595133022
ABHD4,12317623.5,0.000121744,0.000182426,0.091624189,0.055913867,0.81090514
ABHD5,11975475,0.003328452,0.004326335,0.146415283,0.233987248,1.359432082
ABI1,12316369.5,0.009207992,0.011506987,0.1768675,0.151362208,0.906946249
ABI2,12397275,1.00865E-08,2.3831E-08,0.072904463,0.036295614,0.78481711
ABI3BP,12323221.5,1.09383E-08,2.57306E-08,0.03671934,0.005376615,0.766001053
ABL2,12907617.5,1.03745E-26,8.61441E-26,0.217821305,0.088232821,0.588667844
ABR,12349461.5,6.41999E-05,9.94677E-05,0.102706304,0.070900248,0.840914702
ABRACL,12202712.5,0.114591805,0.129073022,0.043444732,0.031517681,0.915212109
ABRAXAS1,12281226,2.91853E-05,4.68345E-05,0.036162042,0.018917316,0.870716178
ABT1,12164362,0.739983165,0.75702254,0.037459924,0.037450768,0.999932017
ABTB1,14489359.5,4.85118E-90,1.72778E-88,0.908991218,0.328150571,0.42274741
AC002044.2,12242960.5,0.000297601,0.000425942,0.02366844,0.007905345,0.86961116
AC002306.1,12237664,0.000518931,0.000727499,0.02346559,0.006311426,0.857866047
AC002310.2,12253108,0.000180853,0.000265414,0.026580077,0.00983542,0.864749324
AC002350.2,12297051.5,1.16405E-06,2.19108E-06,0.032390657,0.009139359,0.820612864
AC003681.1,12826197.5,2.71188E-24,1.96583E-23,0.179737582,0.067976042,0.596473545
AC003991.1,12728921.5,2.98959E-19,1.6216E-18,0.173166236,0.08302344,0.666620289
AC004014.2,12291026,1.05801E-06,2.0033E-06,0.031248395,0.007429228,0.814597777
AC004069.1,12270804,1.74145E-06,3.20923E-06,0.031694826,0.002886238,0.776537916
AC004156.1,12264797,0.000187624,0.000274462,0.032055753,0.015382811,0.871032602
AC004241.1,12215734,0.005122442,0.006552439,0.022624201,0.011450626,0.906769346
AC004253.1,12336687,4.48962E-10,1.20174E-09,0.037106026,0.001340497,0.73374987
AC004490.1,12629818.5,3.68602E-20,2.11235E-19,0.113521901,0.02895377,0.598720941
AC004494.1,12363409.5,2.7321E-07,5.51474E-07,0.061036612,0.033803369,0.827922115
AC004528.1,12524926,4.58807E-12,1.45813E-11,0.117828664,0.060239721,0.732210705
AC004584.1,12420199.5,2.59797E-12,8.44022E-12,0.061139468,0.012699702,0.694123876
AC004584.3,12427948.5,1.65551E-12,5.45444E-12,0.060873243,0.012168577,0.691933262
AC004656.1,12299498.5,9.56049E-06,1.62657E-05,0.05240271,0.020011804,0.783522666
AC004687.1,12171132.5,0.721120223,0.738777511,0.102520644,0.102458707,0.99968992
AC004817.3,12381374.5,4.57884E-10,1.22448E-09,0.053879456,0.013391323,0.732051195
AC004846.1,12471180.5,7.62058E-10,2.00371E-09,0.103809332,0.058495051,0.774593788
AC004893.2,12391190.5,2.31666E-09,5.83326E-09,0.063916125,0.024689695,0.756570253
AC004951.1,12310612,1.20931E-05,2.0298E-05,0.057675378,0.027857093,0.807499663
AC004990.1,12239008.5,0.000985358,0.001346354,0.023979063,0.011678739,0.898515188
AC005005.4,13940743.5,1.39368E-75,4.11373E-74,0.495866242,0.131146771,0.385052868
AC005070.3,12365599,3.46784E-10,9.38729E-10,0.056623996,0.010447817,0.699859467
AC005072.1,12435229,7.41027E-12,2.31786E-11,0.067366762,0.020739208,0.716707046
AC005089.1,12510612,5.85106E-14,2.18124E-13,0.094675692,0.033848435,0.683026652
AC005154.1,12776619,2.43654E-20,1.40754E-19,0.226428359,0.097782602,0.602519365
AC005224.3,12465150.5,4.44221E-08,9.79217E-08,0.145605664,0.093682884,0.786176593
AC005253.1,12546127.5,7.25541E-12,2.2715E-11,0.130832572,0.071389304,0.739349196
AC005261.2,12219204.5,0.009504071,0.011863228,0.025117528,0.016168429,0.926851816
AC005330.1,12358134,1.46101E-07,3.03946E-07,0.058689816,0.021137783,0.759149599
AC005332.9,12313777,2.94865E-06,5.29136E-06,0.053663523,0.021957654,0.789871575
AC005342.1,12694401,5.66172E-19,3.00668E-18,0.153960149,0.0657782,0.648935801
AC005358.2,12262258,0.000194527,0.000283982,0.033643881,0.017344515,0.875452257
AC005480.1,12358806.5,2.65426E-09,6.63873E-09,0.05307951,0.013551892,0.737015603
AC005562.1,12280565,2.27386E-06,4.14256E-06,0.027246757,0.00538271,0.824344659
AC005614.1,12237090,0.003054121,0.003983576,0.029979507,0.019416465,0.916959856
AC005616.1,12781347.5,2.05041E-17,9.77459E-17,0.228330164,0.136297832,0.717306085
AC005632.2,12075852,0.036442792,0.04299212,0.054112069,0.094011778,1.263648773
AC005696.4,12491828,3.26102E-13,1.14348E-12,0.088507642,0.034247099,0.707855986
AC005726.2,12276971,0.000616125,0.000857758,0.047361945,0.029724232,0.878012708
AC005726.4,12383846.5,1.42755E-09,3.6663E-09,0.062527347,0.019080961,0.728038343
AC005736.1,12308954,5.47628E-05,8.55693E-05,0.057880383,0.031883948,0.83239451
AC005786.4,12257070.5,4.61158E-05,7.26507E-05,0.025614844,0.005814425,0.838810486
AC005838.2,12230439,0.00281318,0.003681567,0.023618357,0.013383153,0.915301559
AC005839.1,12261139,0.000215204,0.00031316,0.034707004,0.016915117,0.865143032
AC005899.6,12306150,1.00107E-05,1.70048E-05,0.045128179,0.022486422,0.840946074
AC005899.8,12279110.5,2.69808E-06,4.86399E-06,0.027520177,0.006810484,0.833983391
AC005921.2,12309760,5.89925E-07,1.1548E-06,0.037240757,0.013606801,0.824237491
AC005954.2,12286429,7.33726E-06,1.2648E-05,0.03237852,0.016332664,0.876192298
AC006064.1,12480223,1.44379E-12,4.77881E-12,0.08333557,0.026746954,0.686594019
AC006141.1,12404556.5,2.9815E-10,8.12187E-10,0.065305481,0.021517899,0.730587712
AC006305.1,12328340.5,3.84679E-07,7.66424E-07,0.0448403,0.015045569,0.790273703
AC006486.2,12291270,7.88544E-06,1.35172E-05,0.036242106,0.014900693,0.840099265
AC006538.1,12360746,1.69017E-08,3.90238E-08,0.054123456,0.018342146,0.763582523
AC006548.3,12809229,1.11039E-21,6.92505E-21,0.201687434,0.087872832,0.619237049
AC007032.1,11975400.5,1.08858E-08,2.56213E-08,0.030350313,0.10676546,1.598982871
AC007036.2,12295293,1.00928E-07,2.14207E-07,0.031796611,0.004290648,0.786810422
AC007040.2,12267644,4.12573E-06,7.2943E-06,0.024694006,0.004388679,0.833451685
AC007114.1,12232114,0.000937232,0.001284669,0.022978132,0.00812893,0.876465278
AC007114.2,12415391,9.29279E-11,2.63382E-10,0.067825596,0.02163338,0.7201322
AC007216.2,12294050,5.88146E-06,1.02285E-05,0.039177323,0.014799027,0.821275925
AC007216.3,12876049,7.07043E-29,6.44186E-28,0.179229724,0.053472119,0.545105195
AC007272.1,12281138,1.27706E-05,2.13811E-05,0.034598063,0.014531776,0.84777809
AC007283.1,12431666.5,6.56781E-10,1.73591E-09,0.087181024,0.034833423,0.716127855
AC007292.3,12336581,4.59494E-10,1.22802E-09,0.035565832,0.002439036,0.750533131
AC007298.2,12258737,0.000217847,0.000316791,0.035986479,0.023638815,0.907307483
AC007342.5,12296183.5,2.55218E-06,4.62249E-06,0.038812008,0.017915636,0.846391478
AC007388.1,12778063.5,3.03266E-24,2.18916E-23,0.171223845,0.05203809,0.556019834
AC007610.4,12539481.5,2.12764E-16,9.51149E-16,0.08757299,0.023544779,0.65352235
AC007611.1,12274213,7.4627E-05,0.000114695,0.033969871,0.016455922,0.866503838
AC007613.1,12175027.5,0.385886057,0.409953399,0.02059672,0.024068314,1.029464924
AC007620.2,12417256.5,5.39292E-11,1.56188E-10,0.063834654,0.020056461,0.728185681
