gene,U_statistic_MWU,p_value_MWU,FDR,hbMonocytes,htMonocytes,fold_change
A2ML1,716914.5,2.06108E-08,4.16146E-08,0.041037518,0.021699219,0.860132996
AAAS,702526,1.0586E-05,1.59552E-05,0.024684375,0.024493219,0.99843197
AACS,704841.5,0.0035815,0.004326572,0.057758792,0.066292576,1.055062595
AAED1,674309,0.335997335,0.350530838,0.044241124,0.057697459,1.095120861
AAGAB,699965.5,0.000895492,0.001134384,0.029946749,0.029522024,0.996660211
AAK1,739444.5,4.30565E-06,6.75156E-06,0.236380289,0.252924643,1.049592671
AAMDC,691882,0.162863784,0.174217225,0.064790923,0.067980695,1.019688071
AAMP,729627,9.95623E-10,2.34729E-09,0.068385726,0.042325888,0.842643578
AAR2,705975,2.07917E-06,3.36759E-06,0.029757029,0.018148364,0.908579911
AARD,749467,2.16162E-15,1.01508E-14,0.075785998,0.046435942,0.830356822
AARS,674433,0.193233817,0.20553109,0.010926881,0.032398618,1.198534035
AARS2,763936.5,9.72754E-18,5.93892E-17,0.110113941,0.071138723,0.812021291
AARSD1,741668,5.9987E-11,1.63959E-10,0.099710987,0.061466248,0.805800705
AASDH,714994,3.04951E-11,8.63792E-11,0.047085697,0.006410729,0.718142172
AASDHPPT,722318,5.55372E-10,1.35052E-09,0.065609597,0.023186756,0.739472052
AATBC,741674.5,2.04335E-19,1.47138E-18,0.059268962,0.017736078,0.734603124
AATF,736846,2.19883E-13,8.07591E-13,0.07027522,0.026464783,0.738444765
AATK,696470,0.004354104,0.005230078,0.03961034,0.030850727,0.93598406
ABAT,745628.5,1.88167E-14,7.89961E-14,0.113384345,0.050348582,0.700697501
ABCA1,623593,1.08747E-11,3.24556E-11,0.03513784,0.172943279,2.041122465
ABCA2,710537.5,2.15588E-06,3.48604E-06,0.031911,0.0264824,0.957961989
ABCA7,717267,5.45258E-11,1.49746E-10,0.044502163,0.015489746,0.795293211
ABCA9,713206.5,4.04128E-07,7.05735E-07,0.028828219,0.022629055,0.950820873
ABCB10,704285,5.88006E-05,8.27131E-05,0.028126489,0.027510616,0.995086813
ABCB5,722012,9.61808E-10,2.27086E-09,0.043376836,0.023070371,0.855574204
ABCB7,713107,1.46725E-08,3.0175E-08,0.034734737,0.013859166,0.84180292
ABCB9,763445,1.74966E-15,8.29217E-15,0.120678034,0.095073767,0.88249672
ABCC1,735401,1.33155E-10,3.48406E-10,0.08128619,0.048621577,0.817015961
ABCC10,694177,0.025736019,0.029136847,0.029281493,0.037791854,1.067272376
ABCC3,742506.5,4.26021E-12,1.34124E-11,0.083385043,0.061985712,0.881516075
ABCC5,708548,3.40201E-06,5.3866E-06,0.048240044,0.018106349,0.792845137
ABCC6,698415.5,0.002170054,0.002657744,0.02855251,0.016083181,0.90086165
ABCD1,702605,9.86433E-05,0.000136048,0.037725823,0.018705028,0.859053392
ABCD3,733020,2.27491E-11,6.54273E-11,0.08199659,0.037016453,0.749024353
ABCD4,747457,1.30895E-16,7.09366E-16,0.07758406,0.033113862,0.745606336
ABCE1,710637,2.45242E-05,3.57462E-05,0.052841081,0.040388446,0.917018729
ABCF1,702248.5,0.009543484,0.011158335,0.079371249,0.087843817,1.047977185
ABCF2,721756.5,7.47891E-09,1.59045E-08,0.050610982,0.035437066,0.897359469
ABCG1,731301.5,2.83865E-06,4.52994E-06,0.138034933,0.157608804,1.083201202
ABHD1,715768,1.40436E-05,2.09109E-05,0.056680131,0.054104705,0.983266098
ABHD10,716712,1.16854E-12,3.90477E-12,0.035312133,0.005552337,0.775459898
ABHD11,747739,3.16367E-16,1.64673E-15,0.076148315,0.046903259,0.83131698
ABHD12,676510,0.522849013,0.538374805,0.031753178,0.063617511,1.24705302
ABHD13,704852,0.0001366,0.000186184,0.034995726,0.037611722,1.019785133
ABHD14B,704048.5,0.000159712,0.000216203,0.040361977,0.034688596,0.958764993
ABHD15,735562.5,6.03063E-10,1.46066E-09,0.081179443,0.058307725,0.871798162
ABHD17A,745668,6.07522E-11,1.65957E-10,0.1129887,0.088521698,0.883608653
ABHD17B,699638,0.001286121,0.001608519,0.042407422,0.03020806,0.912632014
ABHD17C,656475,1.73174E-07,3.16171E-07,0.004412436,0.040693262,1.356964862
ABHD18,788027.5,2.13358E-24,2.44296E-23,0.150606872,0.069304756,0.671945868
ABHD2,739795,1.47487E-06,2.42592E-06,0.214858262,0.197848111,0.945494748
ABHD3,751465,5.22212E-17,2.9362E-16,0.088238976,0.044281918,0.762988104
ABHD4,698022,0.000277613,0.000368185,0.032043772,0.013624643,0.85751241
ABHD5,679254,0.84435893,0.852142249,0.072729522,0.109142915,1.214254334
ABHD6,697702,0.00552892,0.006590873,0.034490621,0.033761833,0.994466943
ABI1,744278.5,2.10929E-10,5.38317E-10,0.128305699,0.088371053,0.822929966
ABI2,739024,7.08904E-13,2.42882E-12,0.072635076,0.039554347,0.805246645
ABI3,721993,2.27255E-06,3.66315E-06,0.114637848,0.096415601,0.913990174
ABL1,696601.5,0.011412493,0.013262175,0.035278346,0.030920883,0.967114195
ABL2,701678.5,0.052645349,0.058286136,0.121767235,0.144923892,1.105742134
ABLIM1,692033,0.005906776,0.007022404,0.014496929,0.024722749,1.091529592
ABR,733105,1.78913E-07,3.25917E-07,0.124166204,0.10178777,0.898918833
ABRACL,778228.5,5.72145E-18,3.57829E-17,0.235783078,0.147012122,0.733426644
ABRAXAS1,715555.5,2.7765E-07,4.94503E-07,0.045220216,0.03880732,0.954979766
ABRAXAS2,709015,1.218E-06,2.02391E-06,0.089009296,0.023222114,0.646749558
ABT1,735700.5,1.59773E-15,7.60231E-15,0.060225073,0.029239991,0.80320635
