"","index","input_gene","ortholog_gene"
"ZNF157",1,"ZNF157","ZNF157"
"EMD",2,"EMD","EMD"
"SMC1A",3,"SMC1A","SMC1A"
"CENPI",4,"CENPI","CENPI"
"AFF2",5,"AFF2","AFF2"
"ZNF41",6,"ZNF41","ZNF41"
"FLNA",7,"FLNA","FLNA"
"MORC4",8,"MORC4","MORC4"
"ARAF",10,"ARAF","ARAF"
"RBM41",11,"RBM41","RBM41"
"TIMM8A",12,"TIMM8A","TIMM8A"
"SYN1",13,"SYN1","SYN1"
"TIMP1",14,"TIMP1","TIMP1"
"BTK",15,"BTK","BTK"
"CFP",18,"CFP","CFP"
"PRPS1",19,"PRPS1","PRPS1"
"IDS",20,"IDS","IDS"
"ELK1",21,"ELK1","ELK1"
"UXT",22,"UXT","UXT"
"DNASE1L1",23,"DNASE1L1","DNASE1L1"
"ZNF81",25,"ZNF81","ZNF81"
"TAZ",26,"TAZ","TAFAZZIN"
"TSC22D3",27,"TSC22D3","TSC22D3"
"RIBC1",28,"RIBC1","RIBC1"
"KLHL13",29,"KLHL13","KLHL13"
"ATP6AP1",30,"ATP6AP1","ATP6AP1"
"TMEM185A",31,"TMEM185A","TMEM185A"
"MID2",32,"MID2","MID2"
"HSD17B10",33,"HSD17B10","HSD17B10"
"ZNF630",34,"ZNF630","ZNF630"
"GDI1",35,"GDI1","GDI1"
"WDR44",36,"WDR44","WDR44"
"FAM50A",37,"FAM50A","FAM50A"
"GLA",41,"GLA","GLA"
"HNRNPH2",42,"HNRNPH2","HNRNPH2"
"PLXNA3",43,"PLXNA3","PLXNA3"
"ARMCX6",44,"ARMCX6","ARMCX6"
"ARMCX3",45,"ARMCX3","ARMCX3"
"HUWE1",46,"HUWE1","HUWE1"
"PSMD10",47,"PSMD10","PSMD10"
"SLC38A5",48,"SLC38A5","SLC38A5"
"UBL4A",50,"UBL4A","UBL4A"
"FTSJ1",51,"FTSJ1","FTSJ1"
"SLC10A3",52,"SLC10A3","SLC10A3"
"MAMLD1",53,"MAMLD1","MAMLD1"
"G6PD",54,"G6PD","G6PD"
"MTM1",55,"MTM1","MTM1"
"ATG4A",56,"ATG4A","ATG4A"
"PORCN",57,"PORCN","PORCN"
"TAB3",58,"TAB3","TAB3"
"MTMR1",59,"MTMR1","MTMR1"
